"NUTS_CODE","TIMESTAMP","MEDIAN"
"AL011","2007-01-01",8.378
"AL012","2007-01-01",14.234
"AL013","2007-01-01",7.042
"AL014","2007-01-01",11.696
"AL015","2007-01-01",9.666
"AL021","2007-01-01",10.326
"AL022","2007-01-01",13.876
"AL031","2007-01-01",10.811
"AL032","2007-01-01",14.338
"AL033","2007-01-01",10.054
"AL034","2007-01-01",7.412
"AL035","2007-01-01",14.08
"AT111","2007-01-01",7.004
"AT112","2007-01-01",8.18
"AT113","2007-01-01",7.114
"AT121","2007-01-01",6.316
"AT122","2007-01-01",4.599
"AT123","2007-01-01",6.473
"AT124","2007-01-01",5.218
"AT125","2007-01-01",6.533
"AT126","2007-01-01",8.055
"AT127","2007-01-01",8.375
"AT211","2007-01-01",4.933
"AT212","2007-01-01",0.612
"AT213","2007-01-01",3.153
"AT221","2007-01-01",6.376
"AT222","2007-01-01",1.794
"AT223","2007-01-01",2.51
"AT224","2007-01-01",6.838
"AT225","2007-01-01",5.466
"AT226","2007-01-01",1.116
"AT311","2007-01-01",5.582
"AT312","2007-01-01",5.719
"AT313","2007-01-01",3.627
"AT314","2007-01-01",5.154
"AT315","2007-01-01",4.938
"AT321","2007-01-01",0.124
"AT322","2007-01-01",0.545
"AT323","2007-01-01",3.773
"AT331","2007-01-01",0.411
"AT332","2007-01-01",0.313
"AT333","2007-01-01",-1.934
"AT334","2007-01-01",-0.004
"AT335","2007-01-01",2.772
"AT341","2007-01-01",1.579
"AT342","2007-01-01",6.996
"BA","2007-01-01",8.224
"BE211","2007-01-01",8.123
"BE212","2007-01-01",9.031
"BE213","2007-01-01",8.428
"BE223","2007-01-01",7.872
"BE224","2007-01-01",7.708
"BE225","2007-01-01",7.326
"BE231","2007-01-01",8.657
"BE234","2007-01-01",8.759
"BE235","2007-01-01",8.702
"BE236","2007-01-01",8.57
"BE241","2007-01-01",8.541
"BE242","2007-01-01",8.348
"BE251","2007-01-01",8.467
"BE252","2007-01-01",8.887
"BE253","2007-01-01",8.94
"BE254","2007-01-01",8.69
"BE255","2007-01-01",9.004
"BE256","2007-01-01",8.664
"BE258","2007-01-01",8.753
"BE310","2007-01-01",7.732
"BE323","2007-01-01",7.901
"BE328","2007-01-01",8
"BE329","2007-01-01",7.758
"BE32A","2007-01-01",8.181
"BE32B","2007-01-01",7.446
"BE32C","2007-01-01",8.005
"BE32D","2007-01-01",7.017
"BE331","2007-01-01",7.014
"BE332","2007-01-01",7.287
"BE334","2007-01-01",8.103
"BE335","2007-01-01",6.268
"BE336","2007-01-01",5.256
"BE342","2007-01-01",5.945
"BE343","2007-01-01",6.483
"BE344","2007-01-01",6.355
"BE345","2007-01-01",6.579
"BE351","2007-01-01",7.349
"BE352","2007-01-01",7.322
"BE353","2007-01-01",7.03
"BG311","2007-01-01",11.296
"BG312","2007-01-01",11.57
"BG313","2007-01-01",10.691
"BG314","2007-01-01",11.62
"BG315","2007-01-01",10.481
"BG321","2007-01-01",11.259
"BG322","2007-01-01",9.268
"BG323","2007-01-01",10.758
"BG324","2007-01-01",10.056
"BG325","2007-01-01",9.839
"BG331","2007-01-01",10.815
"BG332","2007-01-01",10.405
"BG333","2007-01-01",9.581
"BG334","2007-01-01",9.939
"BG341","2007-01-01",10.858
"BG342","2007-01-01",9.468
"BG343","2007-01-01",10.996
"BG344","2007-01-01",10.968
"BG411","2007-01-01",6.613
"BG412","2007-01-01",7.437
"BG413","2007-01-01",6.356
"BG414","2007-01-01",6.627
"BG415","2007-01-01",8.303
"BG421","2007-01-01",10.728
"BG422","2007-01-01",11.058
"BG423","2007-01-01",7.804
"BG424","2007-01-01",5.446
"BG425","2007-01-01",10.069
"CH011","2007-01-01",3.944
"CH012","2007-01-01",-1.25
"CH021","2007-01-01",3.744
"CH022","2007-01-01",5.102
"CH023","2007-01-01",4.47
"CH024","2007-01-01",3.432
"CH025","2007-01-01",5.453
"CH032","2007-01-01",5.04
"CH033","2007-01-01",5.823
"CH040","2007-01-01",5.857
"CH051","2007-01-01",-0.966
"CH055","2007-01-01",4.063
"CH056","2007-01-01",-1.199
"CH057","2007-01-01",6.169
"CH061","2007-01-01",6.163
"CH062","2007-01-01",-1.655
"CH063","2007-01-01",5.335
"CH064","2007-01-01",2.349
"CH065","2007-01-01",3.833
"CH070","2007-01-01",3.153
"CY000","2007-01-01",18.226
"CZ010","2007-01-01",5.81
"CZ020","2007-01-01",5.598
"CZ031","2007-01-01",4.858
"CZ032","2007-01-01",4.428
"CZ041","2007-01-01",3.171
"CZ042","2007-01-01",5.748
"CZ051","2007-01-01",4.568
"CZ052","2007-01-01",4.64
"CZ053","2007-01-01",4.908
"CZ063","2007-01-01",4.23
"CZ064","2007-01-01",6.116
"CZ071","2007-01-01",4.205
"CZ072","2007-01-01",5.115
"CZ080","2007-01-01",4.186
"DE112","2007-01-01",6.12
"DE113","2007-01-01",6.03
"DE114","2007-01-01",4.478
"DE115","2007-01-01",7.143
"DE116","2007-01-01",6.067
"DE118","2007-01-01",6.752
"DE119","2007-01-01",5.661
"DE11A","2007-01-01",5.595
"DE11B","2007-01-01",5.695
"DE11C","2007-01-01",3.989
"DE11D","2007-01-01",4.314
"DE123","2007-01-01",6.97
"DE127","2007-01-01",5.344
"DE128","2007-01-01",6.743
"DE12A","2007-01-01",4.368
"DE12B","2007-01-01",6.054
"DE12C","2007-01-01",3.625
"DE132","2007-01-01",6.006
"DE133","2007-01-01",5.655
"DE134","2007-01-01",6.73
"DE135","2007-01-01",4.171
"DE136","2007-01-01",3.993
"DE137","2007-01-01",2.617
"DE138","2007-01-01",4.471
"DE139","2007-01-01",5.672
"DE13A","2007-01-01",4.21
"DE141","2007-01-01",4.258
"DE143","2007-01-01",5.443
"DE145","2007-01-01",3.725
"DE146","2007-01-01",5.328
"DE147","2007-01-01",6.593
"DE148","2007-01-01",5.494
"DE149","2007-01-01",4.526
"DE214","2007-01-01",6.468
"DE215","2007-01-01",3.977
"DE216","2007-01-01",5.008
"DE217","2007-01-01",5.583
"DE218","2007-01-01",5.594
"DE219","2007-01-01",5.414
"DE21A","2007-01-01",6.188
"DE21B","2007-01-01",6.319
"DE21C","2007-01-01",6.084
"DE21D","2007-01-01",4.207
"DE21E","2007-01-01",5.544
"DE21F","2007-01-01",4.91
"DE21G","2007-01-01",6.279
"DE21H","2007-01-01",5.627
"DE21I","2007-01-01",5.706
"DE21J","2007-01-01",5.32
"DE21K","2007-01-01",6.338
"DE21L","2007-01-01",5.514
"DE21M","2007-01-01",4.986
"DE21N","2007-01-01",6.514
"DE224","2007-01-01",4.146
"DE225","2007-01-01",2.323
"DE226","2007-01-01",5.662
"DE227","2007-01-01",5.38
"DE228","2007-01-01",6.114
"DE229","2007-01-01",2.917
"DE22A","2007-01-01",6.246
"DE22B","2007-01-01",5.169
"DE22C","2007-01-01",5.118
"DE234","2007-01-01",4.984
"DE235","2007-01-01",3.933
"DE236","2007-01-01",5.246
"DE237","2007-01-01",3.587
"DE238","2007-01-01",5.868
"DE239","2007-01-01",5.098
"DE23A","2007-01-01",3.191
"DE245","2007-01-01",4.836
"DE246","2007-01-01",4.235
"DE247","2007-01-01",3.894
"DE248","2007-01-01",6.258
"DE249","2007-01-01",2.629
"DE24A","2007-01-01",2.759
"DE24B","2007-01-01",3.605
"DE24C","2007-01-01",3.55
"DE24D","2007-01-01",2.879
"DE256","2007-01-01",5.364
"DE257","2007-01-01",5.392
"DE258","2007-01-01",5.345
"DE259","2007-01-01",5.669
"DE25A","2007-01-01",5.154
"DE25B","2007-01-01",5.439
"DE25C","2007-01-01",4.936
"DE264","2007-01-01",6.103
"DE265","2007-01-01",5.044
"DE266","2007-01-01",4.313
"DE267","2007-01-01",4.797
"DE268","2007-01-01",5.464
"DE269","2007-01-01",5.855
"DE26A","2007-01-01",5.574
"DE26B","2007-01-01",5.236
"DE26C","2007-01-01",5.311
"DE275","2007-01-01",5.414
"DE276","2007-01-01",5.712
"DE277","2007-01-01",5.163
"DE278","2007-01-01",5.466
"DE279","2007-01-01",4.912
"DE27A","2007-01-01",6.535
"DE27B","2007-01-01",4.683
"DE27C","2007-01-01",6.139
"DE27D","2007-01-01",5.329
"DE27E","2007-01-01",3.623
"DE300","2007-01-01",6.771
"DE405","2007-01-01",6.641
"DE406","2007-01-01",7.344
"DE407","2007-01-01",7.59
"DE408","2007-01-01",7.597
"DE409","2007-01-01",6.593
"DE40A","2007-01-01",6.926
"DE40B","2007-01-01",7.168
"DE40C","2007-01-01",6.419
"DE40D","2007-01-01",6.952
"DE40E","2007-01-01",6.804
"DE40F","2007-01-01",6.528
"DE40G","2007-01-01",6.821
"DE40H","2007-01-01",7.05
"DE40I","2007-01-01",6.469
"DE501","2007-01-01",7.326
"DE600","2007-01-01",6.804
"DE712","2007-01-01",6.817
"DE715","2007-01-01",7.653
"DE716","2007-01-01",6.934
