"NUTS_CODE","TIMESTAMP","MEDIAN"
"DE21H","2011-01-01",3.635
"DE21I","2011-01-01",3.377
"DE21J","2011-01-01",3.007
"DE21K","2011-01-01",3.321
"DE21L","2011-01-01",3.518
"DE21M","2011-01-01",2.484
"DE21N","2011-01-01",3.899
"DE224","2011-01-01",2.173
"DE225","2011-01-01",1.059
"DE226","2011-01-01",2.9
"DE227","2011-01-01",2.919
"DE228","2011-01-01",3.166
"DE229","2011-01-01",1.84
"DE22A","2011-01-01",2.403
"DE22B","2011-01-01",2.917
"DE22C","2011-01-01",2.451
"DE234","2011-01-01",2.698
"DE235","2011-01-01",2.153
"DE236","2011-01-01",2.017
"DE237","2011-01-01",1.756
"DE238","2011-01-01",2.645
"DE239","2011-01-01",2.126
"DE23A","2011-01-01",1.339
"DE245","2011-01-01",3.109
"DE246","2011-01-01",1.961
"DE247","2011-01-01",2.832
"DE248","2011-01-01",3.11
"DE249","2011-01-01",1.027
"DE24A","2011-01-01",1.594
"DE24B","2011-01-01",1.994
"DE24C","2011-01-01",2.496
"DE24D","2011-01-01",0.888
"DE256","2011-01-01",2.238
"DE257","2011-01-01",3.492
"DE258","2011-01-01",2.524
"DE259","2011-01-01",2.169
"DE25A","2011-01-01",3.254
"DE25B","2011-01-01",2.433
"DE25C","2011-01-01",2.828
"DE264","2011-01-01",4.004
"DE265","2011-01-01",2.67
"DE266","2011-01-01",3.291
"DE267","2011-01-01",3.135
"DE268","2011-01-01",4.081
"DE269","2011-01-01",3.713
"DE26A","2011-01-01",3.203
"DE26B","2011-01-01",3.3
"DE26C","2011-01-01",3.705
"DE275","2011-01-01",2.218
"DE276","2011-01-01",2.681
"DE277","2011-01-01",2.341
"DE278","2011-01-01",2.508
"DE279","2011-01-01",2.484
"DE27A","2011-01-01",3.062
"DE27B","2011-01-01",2.567
"DE27C","2011-01-01",2.884
"DE27D","2011-01-01",2.192
"DE27E","2011-01-01",2.059
"DE300","2011-01-01",3.331
"DE405","2011-01-01",3.104
"DE406","2011-01-01",3.973
"DE407","2011-01-01",3.464
"DE408","2011-01-01",4.452
"DE409","2011-01-01",2.761
"DE40A","2011-01-01",3.272
"DE40B","2011-01-01",4.597
"DE40C","2011-01-01",3.662
"DE40D","2011-01-01",3.37
"DE40E","2011-01-01",3.733
"DE40F","2011-01-01",2.833
"DE40G","2011-01-01",4.216
"DE40H","2011-01-01",3.675
"DE40I","2011-01-01",2.304
"DE501","2011-01-01",4.435
"DE600","2011-01-01",3.812
"DE712","2011-01-01",5.114
"DE715","2011-01-01",7.119
"DE716","2011-01-01",4.97
"DE717","2011-01-01",6.558
"DE719","2011-01-01",4.021
"DE71A","2011-01-01",4.077
"DE71B","2011-01-01",3.952
"DE71D","2011-01-01",3.822
"DE71E","2011-01-01",4.185
"DE721","2011-01-01",3.952
"DE722","2011-01-01",4.076
"DE723","2011-01-01",3.935
"DE724","2011-01-01",3.724
"DE725","2011-01-01",2.79
"DE732","2011-01-01",3.218
"DE733","2011-01-01",3.276
"DE734","2011-01-01",3.633
"DE735","2011-01-01",3.476
"DE736","2011-01-01",3.253
"DE737","2011-01-01",3.624
"DE80J","2011-01-01",3.143
"DE80K","2011-01-01",3.039
"DE80L","2011-01-01",2.818
"DE80M","2011-01-01",3.386
"DE80N","2011-01-01",2.383
"DE80O","2011-01-01",2.962
"DE912","2011-01-01",3.797
"DE914","2011-01-01",3.976
"DE916","2011-01-01",3.874
"DE917","2011-01-01",4.031
"DE918","2011-01-01",3.927
"DE91A","2011-01-01",4.347
"DE91B","2011-01-01",4.541
"DE91C","2011-01-01",3.403
"DE922","2011-01-01",4.375
"DE923","2011-01-01",3.635
"DE925","2011-01-01",3.723
"DE926","2011-01-01",3.779
"DE927","2011-01-01",4.375
"DE928","2011-01-01",4.891
"DE929","2011-01-01",4.594
"DE931","2011-01-01",4.285
"DE932","2011-01-01",4.134
"DE933","2011-01-01",3.763
"DE934","2011-01-01",3.696
"DE935","2011-01-01",3.851
"DE936","2011-01-01",4.069
"DE937","2011-01-01",3.926
"DE938","2011-01-01",4.258
"DE939","2011-01-01",4.181
"DE93A","2011-01-01",3.631
"DE93B","2011-01-01",4.381
"DE945","2011-01-01",4.74
"DE946","2011-01-01",4.352
"DE947","2011-01-01",4.314
"DE948","2011-01-01",4.318
"DE949","2011-01-01",4.985
"DE94A","2011-01-01",4.708
"DE94B","2011-01-01",4.556
"DE94C","2011-01-01",4.831
"DE94D","2011-01-01",4.306
"DE94E","2011-01-01",4.248
"DE94F","2011-01-01",4.817
"DE94G","2011-01-01",4.163
"DE94H","2011-01-01",4.513
"DEA13","2011-01-01",4.752
"DEA14","2011-01-01",5.125
"DEA1B","2011-01-01",5.197
"DEA1C","2011-01-01",5.176
"DEA1D","2011-01-01",5.493
"DEA1E","2011-01-01",5.324
"DEA1F","2011-01-01",5.365
"DEA26","2011-01-01",5.772
"DEA27","2011-01-01",5.446
"DEA28","2011-01-01",4.829
"DEA29","2011-01-01",5.796
"DEA2A","2011-01-01",4.272
"DEA2B","2011-01-01",4.668
"DEA2C","2011-01-01",5.402
"DEA2D","2011-01-01",5.125
"DEA33","2011-01-01",4.597
"DEA34","2011-01-01",5.164
"DEA35","2011-01-01",4.735
"DEA36","2011-01-01",5.12
"DEA37","2011-01-01",4.468
"DEA38","2011-01-01",4.62
"DEA42","2011-01-01",4.55
"DEA43","2011-01-01",4.537
"DEA44","2011-01-01",3.945
"DEA45","2011-01-01",4.625
"DEA46","2011-01-01",5.06
"DEA47","2011-01-01",3.882
"DEA54","2011-01-01",4.858
"DEA56","2011-01-01",4.823
"DEA57","2011-01-01",2.835
"DEA58","2011-01-01",4.269
"DEA59","2011-01-01",2.828
"DEA5A","2011-01-01",2.566
"DEA5B","2011-01-01",4.338
"DEA5C","2011-01-01",5.513
"DEB12","2011-01-01",5.251
"DEB13","2011-01-01",4.565
"DEB14","2011-01-01",4.444
"DEB15","2011-01-01",3.986
"DEB17","2011-01-01",5.072
"DEB18","2011-01-01",4.879
"DEB1A","2011-01-01",4.723
"DEB1B","2011-01-01",3.062
"DEB1C","2011-01-01",3.926
"DEB1D","2011-01-01",4.063
"DEB22","2011-01-01",4.429
"DEB23","2011-01-01",4.465
"DEB24","2011-01-01",4.056
"DEB25","2011-01-01",4.518
"DEB3B","2011-01-01",5.539
"DEB3C","2011-01-01",4.437
"DEB3D","2011-01-01",4.247
"DEB3E","2011-01-01",5.105
"DEB3F","2011-01-01",4.342
"DEB3G","2011-01-01",4.676
"DEB3H","2011-01-01",4.635
"DEB3I","2011-01-01",5.01
"DEB3K","2011-01-01",4.684
"DEC02","2011-01-01",5.252
"DEC03","2011-01-01",4.836
"DEC04","2011-01-01",5.141
"DED2C","2011-01-01",3.201
"DED2D","2011-01-01",3.479
"DED2E","2011-01-01",4.151
"DED2F","2011-01-01",2.106
"DED42","2011-01-01",1.627
"DED43","2011-01-01",3.245
"DED44","2011-01-01",1.406
"DED45","2011-01-01",3.329
"DED51","2011-01-01",4.687
"DED52","2011-01-01",4.248
"DED53","2011-01-01",3.838
"DEE03","2011-01-01",3.604
"DEE04","2011-01-01",3.369
"DEE05","2011-01-01",4.135
"DEE06","2011-01-01",3.805
"DEE07","2011-01-01",3.454
"DEE08","2011-01-01",4.28
"DEE09","2011-01-01",3.229
"DEE0A","2011-01-01",3.115
"DEE0B","2011-01-01",4.645
"DEE0C","2011-01-01",4.253
"DEE0D","2011-01-01",3.967
"DEE0E","2011-01-01",3.967
"DEF05","2011-01-01",4.035
"DEF06","2011-01-01",3.493
"DEF07","2011-01-01",3.487
"DEF08","2011-01-01",3.512
"DEF09","2011-01-01",3.815
"DEF0A","2011-01-01",3.83
"DEF0B","2011-01-01",3.967
"DEF0C","2011-01-01",3.586
"DEF0D","2011-01-01",3.873
"DEF0E","2011-01-01",4.725
"DEF0F","2011-01-01",4.521
"DEG06","2011-01-01",3.333
"DEG07","2011-01-01",3.397
"DEG09","2011-01-01",3.972
"DEG0A","2011-01-01",3.713
"DEG0B","2011-01-01",2.334
"DEG0C","2011-01-01",3.127
"DEG0D","2011-01-01",3.838
"DEG0E","2011-01-01",2.667
"DEG0F","2011-01-01",2.202
"DEG0G","2011-01-01",2.418
"DEG0H","2011-01-01",1.95
"DEG0I","2011-01-01",1.922
"DEG0J","2011-01-01",2.685
"DEG0K","2011-01-01",2.431
"DEG0L","2011-01-01",2.489
"DEG0M","2011-01-01",3.343
"DEG0P","2011-01-01",3.33
"DK011","2011-01-01",2.235
"DK012","2011-01-01",2.164
"DK013","2011-01-01",1.645
"DK014","2011-01-01",2.305
"DK021","2011-01-01",2.166
"DK022","2011-01-01",2.091
"DK031","2011-01-01",2.873
"DK032","2011-01-01",2.899
"DK041","2011-01-01",2.278
"DK042","2011-01-01",1.918
"DK050","2011-01-01",1.846
"EE001","2011-01-01",-2.701
"EE004","2011-01-01",-1.7
"EE008","2011-01-01",-3.383
"EE009","2011-01-01",-3.363
"EE00A","2011-01-01",-4.029
"EL305","2011-01-01",13.254
"EL306","2011-01-01",10.576
"EL307","2011-01-01",16.724
"EL411","2011-01-01",12.461
"EL412","2011-01-01",15.34
"EL413","2011-01-01",13.884
"EL421","2011-01-01",16.782
"EL422","2011-01-01",15.17
"EL431","2011-01-01",17.681
"EL432","2011-01-01",18.113
"EL433","2011-01-01",15.831
"EL434","2011-01-01",18.22
"EL511","2011-01-01",7.194
"EL512","2011-01-01",7.29
"EL513","2011-01-01",7.167
"EL514","2011-01-01",5.073
"EL515","2011-01-01",8.876
"EL521","2011-01-01",7.445
"EL522","2011-01-01",8.073
"EL523","2011-01-01",9.249
"EL524","2011-01-01",5.428
"EL525","2011-01-01",8.737
"EL526","2011-01-01",8.201
"EL527","2011-01-01",10.341
"EL531","2011-01-01",5.265
"EL532","2011-01-01",4.465
"EL533","2011-01-01",3.884
"EL541","2011-01-01",11.335
"EL542","2011-01-01",10.015
"EL543","2011-01-01",5.871
"EL611","2011-01-01",7.798
"EL612","2011-01-01",9.216
"EL613","2011-01-01",12.358
"EL621","2011-01-01",20.681
"EL622","2011-01-01",14.02
"EL623","2011-01-01",15.053
"EL624","2011-01-01",13.646
"EL631","2011-01-01",11.633
"EL632","2011-01-01",9.144
"EL633","2011-01-01",14.107
"EL641","2011-01-01",10.66
"EL642","2011-01-01",12.723
"EL643","2011-01-01",5.492
"EL644","2011-01-01",9.627
"EL645","2011-01-01",8.86
"EL651","2011-01-01",11.179
"EL652","2011-01-01",11.775
"EL653","2011-01-01",14.635
"ES111","2011-01-01",12.662
"ES112","2011-01-01",10.601
"ES113","2011-01-01",9.638
"ES114","2011-01-01",12.265
"ES120","2011-01-01",11.245
"ES130","2011-01-01",12.246
"ES211","2011-01-01",8.681
"ES212","2011-01-01",11.836
"ES213","2011-01-01",11.373
"ES220","2011-01-01",8.383
"ES230","2011-01-01",8.346
"ES241","2011-01-01",8.339
"ES242","2011-01-01",8.096
"ES243","2011-01-01",9.941
"ES300","2011-01-01",9.553
"ES411","2011-01-01",6.875
"ES412","2011-01-01",7.188
"ES413","2011-01-01",6.367
"ES414","2011-01-01",7.086
"ES415","2011-01-01",8.747
"ES416","2011-01-01",7.347
"ES417","2011-01-01",7.529
"ES418","2011-01-01",8.277
"ES419","2011-01-01",8.901
"ES421","2011-01-01",11.021
"ES422","2011-01-01",10.456
"ES423","2011-01-01",9.93
"ES424","2011-01-01",8.072
"ES425","2011-01-01",10.061
"ES431","2011-01-01",11.67
"ES432","2011-01-01",11.491
"ES511","2011-01-01",10.864
"ES512","2011-01-01",11.731
"ES513","2011-01-01",7.971
"ES514","2011-01-01",12.834
"ES521","2011-01-01",14.47
"ES522","2011-01-01",11.968
"ES523","2011-01-01",12.428
"ES531","2011-01-01",15.553
"ES532","2011-01-01",14.117
"ES533","2011-01-01",14.241
"ES611","2011-01-01",12.916
"ES612","2011-01-01",15.219
"ES613","2011-01-01",11.707
"ES614","2011-01-01",10.073
"ES615","2011-01-01",13.919
"ES616","2011-01-01",11.645
"ES617","2011-01-01",12.914
"ES618","2011-01-01",14.319
"ES620","2011-01-01",13.591
"ES630","2011-01-01",17.468
"ES640","2011-01-01",17.117
"ES703","2011-01-01",
"ES704","2011-01-01",24.105
"ES705","2011-01-01",27.44
"ES706","2011-01-01",
"ES707","2011-01-01",
"ES708","2011-01-01",25.152
"ES709","2011-01-01",
"FI193","2011-01-01",-7.195
"FI194","2011-01-01",-6.422
"FI195","2011-01-01",-5.251
"FI196","2011-01-01",-5.08
"FI197","2011-01-01",-6.333
"FI1B1","2011-01-01",-4.709
"FI1C1","2011-01-01",-3.501
"FI1C2","2011-01-01",-5.669
"FI1C3","2011-01-01",-5.949
"FI1C4","2011-01-01",-5.296
"FI1C5","2011-01-01",-6.199
"FI1D1","2011-01-01",-7.067
"FI1D2","2011-01-01",-7.999
"FI1D3","2011-01-01",-8.368
"FI1D5","2011-01-01",-6.83
"FI1D7","2011-01-01",-10.811
"FI1D8","2011-01-01",-9.434
"FI1D9","2011-01-01",-8.331
"FI200","2011-01-01",-1.777
"FR102","2011-01-01",6.789
"FR103","2011-01-01",6.334
"FR104","2011-01-01",6.574
"FR106","2011-01-01",7.067
"FR108","2011-01-01",6.561
"FRB01","2011-01-01",6.816
"FRB02","2011-01-01",6.087
"FRB03","2011-01-01",6.876
"FRB04","2011-01-01",6.607
"FRB05","2011-01-01",6.821
"FRB06","2011-01-01",6.846
"FRC11","2011-01-01",5.806
"FRC12","2011-01-01",6.704
"FRC13","2011-01-01",6.553
"FRC14","2011-01-01",6.076
"FRC21","2011-01-01",4.371
"FRC22","2011-01-01",5.867
"FRC23","2011-01-01",6.439
"FRC24","2011-01-01",5.426
"FRD11","2011-01-01",6.668
"FRD12","2011-01-01",7.831
"FRD13","2011-01-01",5.45
"FRD21","2011-01-01",6.631
"FRD22","2011-01-01",6.058
"FRE11","2011-01-01",5.759
"FRE12","2011-01-01",6.005
"FRE21","2011-01-01",6.071
"FRE22","2011-01-01",5.912
"FRE23","2011-01-01",6.096
"FRF11","2011-01-01",5.302
"FRF12","2011-01-01",5.774
"FRF21","2011-01-01",6.09
"FRF22","2011-01-01",6.011
"FRF23","2011-01-01",6.415
"FRF24","2011-01-01",5.356
"FRF31","2011-01-01",5.498
"FRF32","2011-01-01",5.781
"FRF33","2011-01-01",5.61
"FRF34","2011-01-01",5.167
"FRG01","2011-01-01",7.723
"FRG02","2011-01-01",7.027
"FRG03","2011-01-01",6.605
"FRG04","2011-01-01",6.629
"FRG05","2011-01-01",7.664
"FRH01","2011-01-01",8.13
"FRH02","2011-01-01",8.454
"FRH03","2011-01-01",7.99
"FRH04","2011-01-01",8.279
"FRI11","2011-01-01",8.048
"FRI12","2011-01-01",8.619
"FRI13","2011-01-01",10.492
"FRI14","2011-01-01",8.794
"FRI15","2011-01-01",9.502
"FRI21","2011-01-01",6.698
"FRI22","2011-01-01",5.469
"FRI23","2011-01-01",6.608
"FRI31","2011-01-01",7.662
"FRI32","2011-01-01",7.961
"FRI33","2011-01-01",6.754
"FRI34","2011-01-01",7.005
"FRJ11","2011-01-01",8.868
"FRJ12","2011-01-01",10.058
"FRJ13","2011-01-01",9.933
"FRJ14","2011-01-01",3.159
"FRJ15","2011-01-01",9.109
"FRJ21","2011-01-01",5.548
"FRJ22","2011-01-01",6.371
"FRJ23","2011-01-01",9.158
"FRJ24","2011-01-01",9.828
"FRJ25","2011-01-01",7.835
"FRJ26","2011-01-01",7.875
"FRJ27","2011-01-01",7.908
"FRJ28","2011-01-01",8.659
"FRK11","2011-01-01",6.822
"FRK12","2011-01-01",4.28
"FRK13","2011-01-01",4.28
"FRK14","2011-01-01",4.794
"FRK21","2011-01-01",7.115
"FRK22","2011-01-01",6.914
"FRK23","2011-01-01",7.211
"FRK24","2011-01-01",5.076
"FRK25","2011-01-01",5.295
"FRK26","2011-01-01",6.269
"FRK27","2011-01-01",-0.847
"FRK28","2011-01-01",4.176
"FRL01","2011-01-01",5.262
"FRL02","2011-01-01",1.703
"FRL03","2011-01-01",6.194
"FRL04","2011-01-01",11.474
"FRL05","2011-01-01",10.98
"FRL06","2011-01-01",8.94
"FRM01","2011-01-01",12.563
"FRM02","2011-01-01",10.965
"HR021","2011-01-01",5.184
"HR022","2011-01-01",5.093
"HR023","2011-01-01",4.278
"HR024","2011-01-01",5.939
"HR025","2011-01-01",5.358
"HR026","2011-01-01",6.244
"HR027","2011-01-01",5.673
"HR028","2011-01-01",5.987
"HR031","2011-01-01",7.786
"HR032","2011-01-01",4.355
"HR033","2011-01-01",9.487
"HR034","2011-01-01",8.615
"HR035","2011-01-01",9.383
"HR036","2011-01-01",7.049
"HR037","2011-01-01",10.582
"HR050","2011-01-01",4.964
"HR061","2011-01-01",4.802
"HR062","2011-01-01",4.073
"HR063","2011-01-01",4.421
"HR064","2011-01-01",4.305
"HR065","2011-01-01",5.684
"HU120","2011-01-01",3.332
"HU211","2011-01-01",3.324
"HU212","2011-01-01",2.287
"HU213","2011-01-01",3.637
"HU221","2011-01-01",3.673
"HU222","2011-01-01",3.889
"HU223","2011-01-01",4.07
"HU231","2011-01-01",4.733
"HU232","2011-01-01",4.414
"HU233","2011-01-01",4.394
"HU311","2011-01-01",2.044
"HU312","2011-01-01",2.318
"HU313","2011-01-01",2.595
"HU321","2011-01-01",2.569
"HU322","2011-01-01",3.188
"HU323","2011-01-01",1.937
"HU331","2011-01-01",4.181
"HU332","2011-01-01",2.813
"HU333","2011-01-01",3.716
"IE041","2011-01-01",6.487
"IE042","2011-01-01",6.61
"IE051","2011-01-01",6.824
"IE052","2011-01-01",6.935
"IE053","2011-01-01",7.133
"IE061","2011-01-01",7.532
"IE062","2011-01-01",6.876
"IE063","2011-01-01",6.662
"IS002","2011-01-01",-1.497
"ITC11","2011-01-01",4.031
"ITC12","2011-01-01",3.313
"ITC13","2011-01-01",3.846
"ITC14","2011-01-01",1.122
"ITC15","2011-01-01",6.31
"ITC16","2011-01-01",6.753
"ITC17","2011-01-01",6.915
"ITC18","2011-01-01",6.862
"ITC20","2011-01-01",-3.482
"ITC31","2011-01-01",9.044
"ITC32","2011-01-01",8.169
"ITC33","2011-01-01",8.429
"ITC34","2011-01-01",7.499
"ITC41","2011-01-01",5.836
"ITC42","2011-01-01",2.252
"ITC43","2011-01-01",3.652
"ITC44","2011-01-01",-1.906
"ITC46","2011-01-01",3.059
"ITC47","2011-01-01",3.633
"ITC48","2011-01-01",6.324
"ITC49","2011-01-01",6.11
"ITC4A","2011-01-01",6.094
"ITC4B","2011-01-01",5.825
"ITC4C","2011-01-01",5.827
"ITC4D","2011-01-01",5.421
"ITF11","2011-01-01",4.474
"ITF12","2011-01-01",9.135
"ITF13","2011-01-01",8.706
"ITF14","2011-01-01",9.226
"ITF21","2011-01-01",6.844
"ITF22","2011-01-01",8.64
"ITF31","2011-01-01",11.941
"ITF32","2011-01-01",9.221
"ITF33","2011-01-01",13.865
"ITF34","2011-01-01",9.021
"ITF35","2011-01-01",11.932
"ITF43","2011-01-01",11.591
"ITF44","2011-01-01",11.685
"ITF45","2011-01-01",12.052
"ITF46","2011-01-01",10.767
"ITF47","2011-01-01",11.199
"ITF48","2011-01-01",11.672
"ITF51","2011-01-01",9.207
"ITF52","2011-01-01",11.31
"ITF61","2011-01-01",11.796
"ITF62","2011-01-01",13.871
"ITF63","2011-01-01",12.999
"ITF64","2011-01-01",14.233
"ITF65","2011-01-01",15.202
"ITG11","2011-01-01",16.927
"ITG12","2011-01-01",14.57
"ITG13","2011-01-01",19.375
"ITG14","2011-01-01",15.223
"ITG15","2011-01-01",13.851
"ITG16","2011-01-01",12.32
"ITG17","2011-01-01",12.614
"ITG18","2011-01-01",15.505
"ITG19","2011-01-01",16.241
"ITG2D","2011-01-01",12.695
"ITG2E","2011-01-01",12.421
"ITG2F","2011-01-01",15.238
"ITG2G","2011-01-01",12.776
"ITG2H","2011-01-01",14.468
"ITH10","2011-01-01",-2.7
"ITH20","2011-01-01",0.189
"ITH31","2011-01-01",5.422
"ITH32","2011-01-01",4.978
"ITH33","2011-01-01",-1.327
"ITH34","2011-01-01",5.942
"ITH35","2011-01-01",6.474
"ITH36","2011-01-01",5.916
"ITH37","2011-01-01",6.065
"ITH41","2011-01-01",6.243
"ITH42","2011-01-01",4.192
"ITH43","2011-01-01",7.559
"ITH51","2011-01-01",5.005
"ITH52","2011-01-01",4.58
"ITH53","2011-01-01",6.538
"ITH54","2011-01-01",6.364
"ITH55","2011-01-01",5.785
"ITH56","2011-01-01",5.974
"ITH57","2011-01-01",6.205
"ITH58","2011-01-01",5.18
"ITH59","2011-01-01",5.941
"ITI11","2011-01-01",4.077
"ITI12","2011-01-01",7.81
"ITI13","2011-01-01",6.63
"ITI14","2011-01-01",6.865
"ITI16","2011-01-01",12.139
"ITI17","2011-01-01",8.918
"ITI18","2011-01-01",5.191
"ITI19","2011-01-01",8.199
"ITI1A","2011-01-01",10.337
"ITI21","2011-01-01",6.501
"ITI22","2011-01-01",8.954
"ITI31","2011-01-01",7.091
"ITI32","2011-01-01",8.5
"ITI33","2011-01-01",7.037
"ITI34","2011-01-01",6.85
"ITI35","2011-01-01",9.163
"ITI41","2011-01-01",10.739
"ITI42","2011-01-01",7.05
"ITI43","2011-01-01",11.636
"ITI44","2011-01-01",12.805
"ITI45","2011-01-01",9.257
"LT011","2011-01-01",-2.148
"LT021","2011-01-01",-1.829
