NUTS_ID, TIMESTAMP, MONTHLY_MAX                                                 
AL011,2010-01-01,0                                                              
AL013,2010-01-01,0                                                              
AL014,2010-01-01,0                                                              
AL015,2010-01-01,0                                                              
AL021,2010-01-01,0                                                              
AL022,2010-01-01,0                                                              
AL031,2010-01-01,0                                                              
AL032,2010-01-01,0                                                              
AL033,2010-01-01,0                                                              
AL034,2010-01-01,0                                                              
AL035,2010-01-01,0                                                              
AT112,2010-01-01,0                                                              
AT113,2010-01-01,0                                                              
AT121,2010-01-01,0                                                              
AT122,2010-01-01,0                                                              
AT123,2010-01-01,0                                                              
AT124,2010-01-01,0                                                              
AT125,2010-01-01,0                                                              
AT126,2010-01-01,0                                                              
AT127,2010-01-01,0                                                              
AT130,2010-01-01,0                                                              
AT211,2010-01-01,.036                                                           
AT212,2010-01-01,0                                                              
AT213,2010-01-01,0                                                              
AT221,2010-01-01,0                                                              
AT222,2010-01-01,0                                                              
AT223,2010-01-01,0                                                              
AT224,2010-01-01,0                                                              
AT225,2010-01-01,0                                                              
AT226,2010-01-01,0                                                              
AT311,2010-01-01,0                                                              
AT312,2010-01-01,0                                                              
AT313,2010-01-01,0                                                              
AT314,2010-01-01,0                                                              
AT315,2010-01-01,0                                                              
AT321,2010-01-01,0                                                              
AT322,2010-01-01,.055                                                           
AT323,2010-01-01,.039                                                           
AT331,2010-01-01,0                                                              
AT332,2010-01-01,.543                                                           
AT333,2010-01-01,0                                                              
AT334,2010-01-01,.548                                                           
AT335,2010-01-01,0                                                              
AT341,2010-01-01,.451                                                           
AT342,2010-01-01,.451                                                           
BE211,2010-01-01,0                                                              
BE212,2010-01-01,0                                                              
BE213,2010-01-01,0                                                              
BE223,2010-01-01,0                                                              
BE224,2010-01-01,0                                                              
BE225,2010-01-01,0                                                              
BE231,2010-01-01,0                                                              
BE232,2010-01-01,0                                                              
BE233,2010-01-01,0                                                              
BE234,2010-01-01,0                                                              
BE235,2010-01-01,0                                                              
BE236,2010-01-01,0                                                              
BE241,2010-01-01,0                                                              
BE242,2010-01-01,0                                                              
BE252,2010-01-01,0                                                              
BE253,2010-01-01,0                                                              
BE254,2010-01-01,0                                                              
BE255,2010-01-01,0                                                              
BE257,2010-01-01,0                                                              
BE258,2010-01-01,0                                                              
BE323,2010-01-01,0                                                              
BE328,2010-01-01,0                                                              
BE329,2010-01-01,0                                                              
BE32A,2010-01-01,0                                                              
BE32B,2010-01-01,0                                                              
BE32D,2010-01-01,0                                                              
BE331,2010-01-01,0                                                              
BE332,2010-01-01,0                                                              
BE334,2010-01-01,0                                                              
BE335,2010-01-01,0                                                              
BE343,2010-01-01,0                                                              
BE344,2010-01-01,0                                                              
BE351,2010-01-01,0                                                              
BE352,2010-01-01,0                                                              
BE353,2010-01-01,0                                                              
BG311,2010-01-01,0                                                              
BG312,2010-01-01,0                                                              
BG313,2010-01-01,0                                                              
BG314,2010-01-01,0                                                              
BG315,2010-01-01,0                                                              
BG321,2010-01-01,0                                                              
BG322,2010-01-01,0                                                              
BG323,2010-01-01,0                                                              
BG325,2010-01-01,0                                                              
BG331,2010-01-01,0                                                              
BG332,2010-01-01,0                                                              
BG333,2010-01-01,0                                                              
BG341,2010-01-01,0                                                              
BG342,2010-01-01,0                                                              
BG343,2010-01-01,0                                                              
BG344,2010-01-01,0                                                              
BG411,2010-01-01,0                                                              
BG412,2010-01-01,0                                                              
BG413,2010-01-01,0                                                              
BG414,2010-01-01,0                                                              
BG415,2010-01-01,0                                                              
BG421,2010-01-01,0                                                              
BG422,2010-01-01,0                                                              
BG423,2010-01-01,0                                                              
BG424,2010-01-01,0                                                              
BG425,2010-01-01,0                                                              
CH011,2010-01-01,0                                                              
CH012,2010-01-01,0                                                              
CH013,2010-01-01,0                                                              
CH021,2010-01-01,0                                                              
CH022,2010-01-01,0                                                              
CH023,2010-01-01,0                                                              
CH024,2010-01-01,0                                                              
CH025,2010-01-01,0                                                              
CH031,2010-01-01,0                                                              
CH032,2010-01-01,0                                                              
CH033,2010-01-01,0                                                              
CH040,2010-01-01,0                                                              
CH051,2010-01-01,.12                                                            
CH052,2010-01-01,0                                                              
CH053,2010-01-01,.05                                                            
CH054,2010-01-01,.126                                                           
CH055,2010-01-01,.164                                                           
CH056,2010-01-01,.21                                                            
CH057,2010-01-01,0                                                              
CH061,2010-01-01,0                                                              
CH062,2010-01-01,0                                                              
CH063,2010-01-01,.088                                                           
CH065,2010-01-01,.088                                                           
CH066,2010-01-01,0                                                              
CH070,2010-01-01,0                                                              
CY000,2010-01-01,0                                                              
CZ010,2010-01-01,0                                                              
CZ020,2010-01-01,.189                                                           
CZ031,2010-01-01,.188                                                           
CZ032,2010-01-01,0                                                              
CZ041,2010-01-01,0                                                              
CZ042,2010-01-01,0                                                              
CZ051,2010-01-01,.134                                                           
CZ052,2010-01-01,.056                                                           
CZ053,2010-01-01,0                                                              
CZ063,2010-01-01,0                                                              
CZ064,2010-01-01,0                                                              
CZ071,2010-01-01,.059                                                           
CZ072,2010-01-01,0                                                              
CZ080,2010-01-01,0                                                              
DE111,2010-01-01,0                                                              
DE113,2010-01-01,0                                                              
DE115,2010-01-01,0                                                              
DE116,2010-01-01,0                                                              
DE117,2010-01-01,0                                                              
DE118,2010-01-01,0                                                              
DE119,2010-01-01,0                                                              
DE11A,2010-01-01,0                                                              
DE11B,2010-01-01,0                                                              
DE122,2010-01-01,0                                                              
DE123,2010-01-01,0                                                              
DE124,2010-01-01,0                                                              
DE125,2010-01-01,0                                                              
DE126,2010-01-01,0                                                              
DE127,2010-01-01,0                                                              
DE128,2010-01-01,0                                                              
DE129,2010-01-01,0                                                              
DE12B,2010-01-01,0                                                              
DE12C,2010-01-01,0                                                              
DE132,2010-01-01,0                                                              
DE133,2010-01-01,0                                                              
DE134,2010-01-01,0                                                              
DE135,2010-01-01,0                                                              
DE137,2010-01-01,0                                                              
DE138,2010-01-01,0                                                              
DE139,2010-01-01,0                                                              
DE13A,2010-01-01,0                                                              
DE141,2010-01-01,0                                                              
DE142,2010-01-01,0                                                              
DE144,2010-01-01,0                                                              
DE145,2010-01-01,0                                                              
DE146,2010-01-01,0                                                              
DE147,2010-01-01,0                                                              
DE148,2010-01-01,0                                                              
DE149,2010-01-01,0                                                              
DE211,2010-01-01,0                                                              
DE212,2010-01-01,0                                                              
DE213,2010-01-01,0                                                              
DE214,2010-01-01,0                                                              
DE215,2010-01-01,.029                                                           
DE216,2010-01-01,0                                                              
DE217,2010-01-01,0                                                              
DE219,2010-01-01,0                                                              
DE21A,2010-01-01,0                                                              
DE21B,2010-01-01,.167                                                           
DE21C,2010-01-01,0                                                              
DE21E,2010-01-01,.066                                                           
DE21G,2010-01-01,0                                                              
DE21H,2010-01-01,0                                                              
DE21I,2010-01-01,0                                                              
DE21J,2010-01-01,0                                                              
DE21K,2010-01-01,0                                                              
DE21L,2010-01-01,.066                                                           
DE21M,2010-01-01,0                                                              
DE21N,2010-01-01,.066                                                           
DE221,2010-01-01,0                                                              
DE222,2010-01-01,0                                                              
DE223,2010-01-01,0                                                              
DE224,2010-01-01,0                                                              
DE226,2010-01-01,0                                                              
DE227,2010-01-01,0                                                              
DE228,2010-01-01,0                                                              
DE229,2010-01-01,0                                                              
