NUTS_ID, TIMESTAMP, MONTHLY_MAX                                                 
DE213,2005-01-01,0                                                              
DE214,2005-01-01,0                                                              
DE215,2005-01-01,0                                                              
DE216,2005-01-01,0                                                              
DE217,2005-01-01,0                                                              
DE219,2005-01-01,0                                                              
DE21A,2005-01-01,0                                                              
DE21B,2005-01-01,0                                                              
DE21C,2005-01-01,0                                                              
DE21E,2005-01-01,0                                                              
DE21G,2005-01-01,0                                                              
DE21H,2005-01-01,0                                                              
DE21I,2005-01-01,0                                                              
DE21J,2005-01-01,0                                                              
DE21K,2005-01-01,0                                                              
DE21L,2005-01-01,0                                                              
DE21M,2005-01-01,0                                                              
DE21N,2005-01-01,0                                                              
DE221,2005-01-01,0                                                              
DE222,2005-01-01,0                                                              
DE223,2005-01-01,0                                                              
DE224,2005-01-01,0                                                              
DE226,2005-01-01,0                                                              
DE227,2005-01-01,0                                                              
DE228,2005-01-01,0                                                              
DE229,2005-01-01,0                                                              
DE22A,2005-01-01,0                                                              
DE22B,2005-01-01,0                                                              
DE22C,2005-01-01,0                                                              
DE232,2005-01-01,0                                                              
DE233,2005-01-01,0                                                              
DE234,2005-01-01,0                                                              
DE235,2005-01-01,0                                                              
DE236,2005-01-01,0                                                              
DE237,2005-01-01,0                                                              
DE238,2005-01-01,0                                                              
DE239,2005-01-01,0                                                              
DE241,2005-01-01,0                                                              
DE245,2005-01-01,0                                                              
DE247,2005-01-01,0                                                              
DE248,2005-01-01,0                                                              
DE249,2005-01-01,0                                                              
DE24A,2005-01-01,0                                                              
DE24B,2005-01-01,0                                                              
DE24C,2005-01-01,0                                                              
DE252,2005-01-01,0                                                              
DE253,2005-01-01,0                                                              
DE254,2005-01-01,0                                                              
DE255,2005-01-01,0                                                              
DE257,2005-01-01,0                                                              
DE258,2005-01-01,0                                                              
DE259,2005-01-01,0                                                              
DE25B,2005-01-01,0                                                              
DE25C,2005-01-01,0                                                              
DE261,2005-01-01,0                                                              
DE262,2005-01-01,0                                                              
DE263,2005-01-01,0                                                              
DE264,2005-01-01,0                                                              
DE265,2005-01-01,0                                                              
DE266,2005-01-01,0                                                              
DE267,2005-01-01,0                                                              
DE268,2005-01-01,0                                                              
DE269,2005-01-01,0                                                              
DE26A,2005-01-01,0                                                              
DE26B,2005-01-01,0                                                              
DE26C,2005-01-01,0                                                              
DE271,2005-01-01,0                                                              
DE273,2005-01-01,0                                                              
DE274,2005-01-01,0                                                              
DE275,2005-01-01,0                                                              
DE276,2005-01-01,0                                                              
DE277,2005-01-01,0                                                              
DE278,2005-01-01,0                                                              
DE279,2005-01-01,0                                                              
DE27A,2005-01-01,0                                                              
DE27B,2005-01-01,0                                                              
DE27C,2005-01-01,0                                                              
DE27D,2005-01-01,0                                                              
DE27E,2005-01-01,0                                                              
DE300,2005-01-01,0                                                              
DE401,2005-01-01,0                                                              
DE402,2005-01-01,0                                                              
DE403,2005-01-01,0                                                              
DE404,2005-01-01,0                                                              
DE405,2005-01-01,.457                                                           
DE406,2005-01-01,0                                                              
DE407,2005-01-01,0                                                              
DE408,2005-01-01,0                                                              
DE409,2005-01-01,0                                                              
DE40A,2005-01-01,.669                                                           
DE40B,2005-01-01,0                                                              
DE40C,2005-01-01,0                                                              
DE40D,2005-01-01,0                                                              
DE40E,2005-01-01,0                                                              
DE40F,2005-01-01,0                                                              
DE40G,2005-01-01,0                                                              
DE40H,2005-01-01,0                                                              
DE40I,2005-01-01,.669                                                           
DE501,2005-01-01,0                                                              
DE502,2005-01-01,0                                                              
DE600,2005-01-01,0                                                              
DE712,2005-01-01,0                                                              
DE713,2005-01-01,0                                                              
DE714,2005-01-01,0                                                              
DE715,2005-01-01,0                                                              
DE716,2005-01-01,0                                                              
DE717,2005-01-01,0                                                              
DE718,2005-01-01,0                                                              
DE719,2005-01-01,0                                                              
DE71A,2005-01-01,0                                                              
DE71B,2005-01-01,0                                                              
DE71C,2005-01-01,0                                                              
DE71D,2005-01-01,0                                                              
DE71E,2005-01-01,0                                                              
DE721,2005-01-01,0                                                              
DE722,2005-01-01,0                                                              
DE723,2005-01-01,0                                                              
DE724,2005-01-01,0                                                              
DE725,2005-01-01,0                                                              
DE731,2005-01-01,0                                                              
DE732,2005-01-01,0                                                              
DE733,2005-01-01,0                                                              
DE734,2005-01-01,0                                                              
DE735,2005-01-01,0                                                              
DE736,2005-01-01,0                                                              
DE737,2005-01-01,0                                                              
DE803,2005-01-01,0                                                              
DE80J,2005-01-01,0                                                              
DE80K,2005-01-01,0                                                              
DE80L,2005-01-01,0                                                              
DE80M,2005-01-01,0                                                              
DE80N,2005-01-01,.387                                                           
DE80O,2005-01-01,0                                                              
DE911,2005-01-01,0                                                              
DE913,2005-01-01,0                                                              
DE914,2005-01-01,0                                                              
DE917,2005-01-01,0                                                              
DE918,2005-01-01,0                                                              
DE91A,2005-01-01,0                                                              
DE91C,2005-01-01,0                                                              
DE922,2005-01-01,0                                                              
DE923,2005-01-01,0                                                              
