"NUTS_CODE","TIMESTAMP","MEDIAN"
"DE13A","2003-01-01",0.876
"DE141","2003-01-01",1.051
"DE142","2003-01-01",1.019
"DE143","2003-01-01",0.961
"DE144","2003-01-01",1.042
"DE145","2003-01-01",1.117
"DE146","2003-01-01",-0.265
"DE147","2003-01-01",-0.165
"DE148","2003-01-01",0.972
"DE149","2003-01-01",0.938
"DE211","2003-01-01",0.919
"DE212","2003-01-01",0.676
"DE213","2003-01-01",2.083
"DE214","2003-01-01",2.382
"DE215","2003-01-01",1.424
"DE216","2003-01-01",1.173
"DE217","2003-01-01",2.011
"DE218","2003-01-01",-0.282
"DE219","2003-01-01",1.404
"DE21A","2003-01-01",-0.648
"DE21B","2003-01-01",-0.077
"DE21C","2003-01-01",1.19
"DE21D","2003-01-01",1.167
"DE21E","2003-01-01",0.982
"DE21F","2003-01-01",2.111
"DE21G","2003-01-01",2.458
"DE21H","2003-01-01",-0.349
"DE21I","2003-01-01",1.779
"DE21J","2003-01-01",1.813
"DE21K","2003-01-01",2.314
"DE21L","2003-01-01",1.161
"DE21M","2003-01-01",2.083
"DE21N","2003-01-01",0.909
"DE221","2003-01-01",1.889
"DE222","2003-01-01",1.203
"DE223","2003-01-01",1.059
"DE224","2003-01-01",1.103
"DE225","2003-01-01",1.112
"DE226","2003-01-01",1.395
"DE227","2003-01-01",1.15
"DE228","2003-01-01",1.198
"DE229","2003-01-01",1.509
"DE22A","2003-01-01",2.273
"DE22B","2003-01-01",1.18
"DE22C","2003-01-01",1.428
"DE231","2003-01-01",1.716
"DE232","2003-01-01",1.187
"DE233","2003-01-01",1.293
"DE234","2003-01-01",1.996
"DE235","2003-01-01",1.012
"DE236","2003-01-01",1.2
"DE237","2003-01-01",1.581
"DE238","2003-01-01",1.362
"DE239","2003-01-01",1.783
"DE23A","2003-01-01",1.742
"DE241","2003-01-01",2.261
"DE242","2003-01-01",0.941
"DE243","2003-01-01",0.897
"DE244","2003-01-01",1.303
"DE245","2003-01-01",2.333
"DE246","2003-01-01",1.276
"DE247","2003-01-01",0.943
"DE248","2003-01-01",2.484
"DE249","2003-01-01",1.234
"DE24A","2003-01-01",0.672
"DE24B","2003-01-01",0.951
"DE24C","2003-01-01",0.997
"DE24D","2003-01-01",1.714
"DE251","2003-01-01",1.827
"DE252","2003-01-01",2.893
"DE253","2003-01-01",0.948
"DE254","2003-01-01",1.308
"DE255","2003-01-01",1.548
"DE256","2003-01-01",1.217
"DE257","2003-01-01",2.82
"DE258","2003-01-01",1.153
"DE259","2003-01-01",2.075
"DE25A","2003-01-01",1.604
"DE25B","2003-01-01",1.913
"DE25C","2003-01-01",1.609
"DE261","2003-01-01",0.579
"DE262","2003-01-01",0.857
"DE263","2003-01-01",1.236
"DE264","2003-01-01",0.553
"DE265","2003-01-01",0.833
"DE266","2003-01-01",0.899
"DE267","2003-01-01",1.073
"DE268","2003-01-01",1.322
"DE269","2003-01-01",0.755
"DE26A","2003-01-01",0.873
"DE26B","2003-01-01",1.047
"DE26C","2003-01-01",1.222
"DE271","2003-01-01",3.291
"DE272","2003-01-01",0.822
"DE273","2003-01-01",0.632
"DE274","2003-01-01",0.8
"DE275","2003-01-01",1.845
"DE276","2003-01-01",1.34
"DE277","2003-01-01",1.039
"DE278","2003-01-01",1.25
"DE279","2003-01-01",0.929
"DE27A","2003-01-01",1.128
"DE27B","2003-01-01",0.968
"DE27C","2003-01-01",0.99
"DE27D","2003-01-01",1.402
"DE27E","2003-01-01",1.812
"DE300","2003-01-01",1.341
"DE401","2003-01-01",1.152
"DE402","2003-01-01",1.285
"DE403","2003-01-01",1.377
"DE404","2003-01-01",1.306
